@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R15-17-weka.filters.unsupervised.attribute.Remove-R2-4,6-9'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
197307,88,34,27,26,102,17
217071,90,34,35,18,55,11
183789,87,24,10,5,60,10
23338,6,33,28,21,70,10
207299,42,14,14,25,54,6
186774,40,19,27,25,112,16
196166,33,15,14,11,65,13
220263,68,17,19,5,50,10
88176,40,22,7,2,98,14
44968,7,33,5,20,49,7
142920,8,29,29,6,40,4
223292,86,32,25,11,33,11
222914,68,31,13,16,72,24
75798,55,27,29,1,49,7
198039,94,16,32,13,105,21
218428,68,10,14,25,42,6
250474,53,29,23,24,32,4
229040,37,28,16,5,54,18
204081,88,23,25,21,65,13
78037,47,24,22,1,36,9
173221,89,16,8,17,100,25
184443,76,32,9,27,90,15
53639,8,4,21,8,90,10
218656,64,11,28,12,90,9
214509,65,19,11,25,84,21
152995,15,4,31,4,64,8
19369,6,7,22,24,91,13
238731,49,19,25,14,70,10
233542,47,11,34,6,48,8
102312,20,8,11,4,88,11
196540,61,21,31,31,110,11
35155,8,35,24,31,66,22
239947,48,34,23,22,64,8
90082,11,15,22,8,108,27
223072,28,22,24,7,70,7
196517,67,4,23,11,104,26
222942,70,13,33,17,80,10
183355,83,12,22,30,100,20
207590,86,23,25,24,75,15
169367,46,19,27,24,119,17
196965,35,9,16,19,72,12
81256,10,23,8,1,42,7
81162,73,12,8,19,70,7
247155,37,9,28,25,40,4
245552,33,24,28,26,60,10
127154,11,28,14,6,60,10
162565,19,22,16,13,70,14
189602,21,25,31,17,80,20
11003,5,25,26,25,90,10
195939,30,21,34,7,72,9
126391,95,16,6,23,99,11
163889,10,35,13,5,39,13
168615,22,18,25,3,68,17
214065,34,6,19,28,32,4
191437,72,18,14,16,64,8
252974,54,35,35,8,44,11
176546,70,11,11,8,90,10
143950,94,6,4,20,66,11
200808,48,25,31,12,90,9
208531,33,30,13,18,64,16
114792,56,14,11,10,111,37
16328,6,14,27,30,110,22
241770,37,23,30,5,49,7
261269,60,33,22,16,28,7
265186,40,18,29,21,48,16
94635,11,9,31,24,56,14
200389,71,14,29,30,81,9
237534,19,24,29,10,40,5
7510,10,17,4,28,42,14
20093,6,31,9,23,88,11
82515,30,23,9,1,77,11
86024,48,25,17,1,30,3
194455,54,4,18,9,108,36
190380,14,17,19,25,28,4
71189,9,24,32,8,108,36
198854,16,14,8,8,36,6
191545,79,32,23,19,119,17
135191,71,8,7,21,45,5
180849,31,4,26,31,81,9
189374,93,9,18,10,92,23
134870,53,6,13,2,110,11
89088,82,16,9,1,32,4
255399,28,11,31,17,30,3
200642,79,8,33,11,104,13
17098,6,15,27,27,105,21
13866,12,22,11,28,70,10
175518,38,20,16,4,70,7
170973,30,9,12,9,85,17
205996,33,24,32,29,108,18
123498,17,14,15,2,80,10
184909,59,16,12,17,85,17
115462,17,26,32,16,104,13
