% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
51708,21953,52033,4,96,192,72,4,2,12,26,4,70,10,45,64237,151
70430,30317,70749,4,96,192,72,4,2,12,26,4,70,10,56,63678,147
85956,37124,86468,4,96,192,72,4,2,12,26,4,70,10,63,63815,136
171171,78626,170884,4,96,192,91,4,2,4,22,27,105,35,91,85221,5020
31876,12872,28896,4,96,192,91,4,2,4,22,27,105,35,38,97487,697
53332,21981,52379,4,96,192,91,4,2,4,22,27,105,35,52,97193,705
78258,32005,77388,4,96,192,91,4,2,4,22,27,105,35,64,97940,702
101522,42051,100633,4,96,192,91,4,2,4,22,27,105,35,70,99635,724
135426,65267,135254,4,96,192,85,4,2,17,8,4,104,26,87,58639,486
22668,9099,23106,4,96,192,85,4,2,17,8,4,104,26,29,62098,281
36533,14818,37042,4,96,192,85,4,2,17,8,4,104,26,37,61301,189
51411,21221,51870,4,96,192,85,4,2,17,8,4,104,26,48,59949,169
63906,26465,64525,4,96,192,85,4,2,17,8,4,104,26,56,58906,177
123068,54197,123600,4,96,192,12,4,2,18,8,18,55,11,59,19795,8326
20846,9619,20145,4,96,192,12,4,2,18,8,18,55,11,18,19602,340
39417,17305,39380,4,96,192,12,4,2,18,8,18,55,11,24,19736,342
58646,25459,58641,4,96,192,12,4,2,18,8,18,55,11,31,19959,362
78829,34173,78811,4,96,192,12,4,2,18,8,18,55,11,40,20017,392
136148,65101,135189,4,96,192,91,4,2,20,10,29,70,7,92,84584,7012
23711,11807,22639,4,96,192,91,4,2,20,10,29,70,7,38,94081,761
40848,17659,40579,4,96,192,91,4,2,20,10,29,70,7,49,93004,740
60684,26427,60230,4,96,192,91,4,2,20,10,29,70,7,62,95509,725
79787,34279,79458,4,96,192,91,4,2,20,10,29,70,7,69,98264,709
138777,68154,137241,4,96,192,49,4,2,4,16,14,99,11,92,52768,1279
