% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data
4,96,192,5,4,2,5,20,8,72,8,59100
4,96,192,57,4,2,25,11,8,60,20,238149
4,96,192,93,4,2,6,9,27,69,23,168485
4,96,192,84,4,2,25,12,23,66,11,151175
4,96,192,10,4,2,22,29,14,36,4,157209
4,96,192,18,4,2,18,26,12,75,15,181942
4,96,192,76,4,2,17,23,19,56,8,203837
4,96,192,60,4,2,29,16,6,88,22,212393
4,96,192,87,4,2,5,23,18,77,11,169156
4,96,192,21,4,2,22,28,23,100,10,107149
4,96,192,18,4,2,21,16,31,100,10,95043
4,96,192,12,4,2,27,25,10,90,9,92896
4,96,192,66,4,2,29,25,20,40,10,246895
4,96,192,75,4,2,21,17,13,108,12,142835
4,96,192,57,4,2,29,31,6,100,20,200665
4,96,192,39,4,2,22,26,14,108,12,209844
4,96,192,54,4,2,19,6,27,104,13,142812
4,96,192,31,4,2,19,18,32,48,8,226964
4,96,192,85,4,2,12,7,27,63,7,98127
4,96,192,75,4,2,12,19,22,50,5,203855
4,96,192,26,4,2,8,25,13,90,9,199108
4,96,192,57,4,2,26,28,28,99,11,200247
4,96,192,91,4,2,16,16,10,105,21,160234
4,96,192,18,4,2,19,27,30,96,32,128270
4,96,192,94,4,2,30,26,9,72,8,202790
4,96,192,57,4,2,32,31,24,72,8,235244
4,96,192,15,4,2,25,12,29,104,13,88238
4,96,192,45,4,2,5,28,8,72,9,248157
4,96,192,86,4,2,4,30,17,80,16,183195
4,96,192,14,4,2,31,32,9,117,39,113907
4,96,192,32,4,2,21,14,13,32,8,276368
4,96,192,92,4,2,18,27,29,40,10,189513
4,96,192,12,4,2,17,17,8,80,10,110244
4,96,192,56,4,2,5,7,26,32,8,227181
4,96,192,79,4,2,18,19,16,87,29,214481
4,96,192,48,4,2,8,32,26,66,11,242004
4,96,192,64,4,2,20,32,25,90,18,210418
4,96,192,53,4,2,6,19,27,36,6,198926
4,96,192,80,4,2,23,23,11,114,19,195000
4,96,192,57,4,2,31,20,16,78,13,208968
4,96,192,55,4,2,5,29,30,114,19,182871
4,96,192,79,4,2,4,32,31,50,5,171734
4,96,192,5,4,2,24,19,15,99,11,30230
4,96,192,24,4,2,6,24,29,66,11,219260
4,96,192,74,4,2,9,26,18,81,9,221552
4,96,192,43,4,2,30,14,21,36,9,264745
4,96,192,8,4,2,11,32,31,87,29,56680
4,96,192,47,4,2,11,31,7,108,27,225001
4,96,192,92,4,2,20,8,21,100,10,80121
4,96,192,20,4,2,6,23,8,110,22,159278
4,96,192,21,4,2,28,9,15,80,10,134845
4,96,192,35,4,2,23,8,12,63,9,150918
4,96,192,9,4,2,17,20,11,56,14,118016
4,96,192,44,4,2,26,31,5,81,9,212605
4,96,192,41,4,2,18,8,32,36,4,236931
4,96,192,60,4,2,19,19,28,75,15,219024
4,96,192,88,4,2,23,11,18,80,10,141660
4,96,192,69,4,2,26,19,15,70,10,216615
4,96,192,66,4,2,31,26,21,84,14,235002
4,96,192,59,4,2,24,8,19,85,17,168596
4,96,192,31,4,2,22,5,17,45,9,158992
4,96,192,74,4,2,4,24,20,51,17,152071
4,96,192,63,4,2,20,27,15,60,6,242857
4,96,192,59,4,2,19,7,5,50,5,119447
4,96,192,44,4,2,18,28,16,85,17,256160
4,96,192,49,4,2,27,12,15,40,4,223760
4,96,192,80,4,2,16,14,17,36,4,196657
4,96,192,58,4,2,8,16,27,104,13,197471
4,96,192,12,4,2,11,7,6,52,13,156959
4,96,192,22,4,2,19,23,13,90,30,182719
4,96,192,18,4,2,4,4,5,33,11,139776
4,96,192,69,4,2,5,16,7,39,13,210231
4,96,192,43,4,2,29,13,17,96,16,167112
4,96,192,57,4,2,6,31,7,88,11,230351
4,96,192,48,4,2,19,29,13,42,7,258124
4,96,192,13,4,2,23,31,17,54,6,158698
4,96,192,64,4,2,15,7,7,99,11,157742
4,96,192,20,4,2,14,32,22,60,6,212142
4,96,192,70,4,2,5,24,14,72,18,205184
4,96,192,8,4,2,6,10,19,90,15,47677
4,96,192,81,4,2,24,19,29,54,9,209534
4,96,192,14,4,2,16,29,6,60,6,145747
