% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric

@data
3847,3,4,4,3,25,14,13,1074
2674,3,4,4,10,16,28,15,2225
1161,3,4,4,10,16,28,8,2085
5505,3,4,4,10,16,28,14,2288
5103,3,4,4,10,16,28,15,2531
432,3,4,4,10,16,28,7,2503
1005,3,4,4,7,7,10,4,1094
20973,3,4,4,7,7,10,35,1391
17635,3,4,4,7,7,10,30,1445
1062,3,4,4,7,7,10,4,1407
23919,3,4,4,7,7,10,39,1456
2251,3,4,4,6,17,12,9,1572
1512,3,4,4,6,17,12,4,1611
559,3,4,4,6,17,12,2,1713
932,3,4,4,6,17,12,3,1579
6703,3,4,4,6,17,12,10,1798
1081,3,4,4,6,7,8,3,1073
15474,3,4,4,6,7,8,36,1215
30662,3,4,4,6,7,8,64,1390
4165,3,4,4,6,7,8,10,1390
35551,3,4,4,6,7,8,86,1440
1260,3,4,4,6,10,13,4,1085
9624,3,4,4,6,10,13,22,1244
9041,3,4,4,6,10,13,18,1360
27364,3,4,4,6,10,13,53,1378
8856,3,4,4,6,10,13,20,1397
4975,3,4,4,3,31,32,10,1384
1053,3,4,4,3,31,32,5,1408
2975,3,4,4,3,31,32,5,1454
7911,3,4,4,3,31,32,15,1564
860,3,4,4,3,31,32,9,1688
3997,3,4,4,12,27,6,14,1934
5947,3,4,4,12,27,6,13,2197
9700,3,4,4,12,27,6,32,2391
5591,3,4,4,12,27,6,17,2566
3738,3,4,4,12,27,6,18,2581
4254,3,4,4,6,31,15,19,1681
11361,3,4,4,6,31,15,19,1803
2313,3,4,4,6,31,15,9,1913
12816,3,4,4,6,31,15,18,1935
4455,3,4,4,6,31,15,13,2003
6641,2,8,3.8,6,30,13,19,1672
2343,2,8,3.8,6,30,13,7,1734
33945,2,8,3.8,6,30,13,89,2356
38971,2,8,3.8,6,30,13,88,2762
4505,2,8,3.8,6,30,13,13,2744
1410,2,8,3.8,6,30,13,7,2757
8923,2,8,3.8,6,30,13,34,2799
1660,2,8,3.8,6,30,13,5,2905
34152,2,8,3.8,6,30,13,71,2997
4628,2,8,3.8,6,30,13,16,3073
395,3,4,4,11,4,12,6,1531
11605,3,4,4,11,4,12,38,1660
12078,3,4,4,11,4,12,41,1667
7012,3,4,4,11,4,12,25,1642
5079,3,4,4,11,4,12,19,1642
1678,3,4,4,8,10,25,12,1940
3848,3,4,4,8,10,25,10,1879
26922,3,4,4,8,10,25,44,2186
19969,3,4,4,8,10,25,43,2529
12699,3,4,4,8,10,25,30,2599
1152,3,4,4,10,11,7,7,1441
3195,3,4,4,10,11,7,12,1476
27047,3,4,4,10,11,7,59,1731
27597,3,4,4,10,11,7,58,1917
9106,3,4,4,10,11,7,17,1974
3629,3,4,4,3,25,17,7,775
3740,3,4,4,3,25,17,6,867
3113,3,4,4,3,25,17,6,896
8943,3,4,4,3,25,17,13,938
6993,3,4,4,3,25,17,19,1002
3985,3,4,4,8,24,18,16,2086
6851,3,4,4,8,24,18,20,2228
6322,3,4,4,8,24,18,25,2491
9910,3,4,4,8,24,18,36,2625
4638,3,4,4,8,24,18,24,2693
3536,3,4,4,12,27,32,29,2242
4959,3,4,4,12,27,32,19,2607
3850,3,4,4,12,27,32,18,2911
1479,3,4,4,12,27,32,10,2940
1958,3,4,4,12,27,32,8,2852
6552,2,8,3.8,6,30,13,18,1596
1628,3,4,4,6,10,13,9,1652
12673,3,4,4,6,10,13,18,1876
12038,3,4,4,6,10,13,20,2012
35189,3,4,4,6,10,13,50,2019
12432,3,4,4,6,10,13,29,2033
1136,3,4,4,4,9,27,2,743
7722,3,4,4,4,9,27,12,879
3054,3,4,4,4,9,27,6,916
848,3,4,4,4,9,27,3,880
6215,3,4,4,4,9,27,14,935
3250,3,4,4,7,18,15,18,1927
33491,3,4,4,7,18,15,60,2373
32249,3,4,4,7,18,15,87,2689
5497,3,4,4,7,18,15,31,2764
864,3,4,4,7,18,15,10,2770
1227,3,4,4,3,7,21,6,1333
21156,3,4,4,3,7,21,25,1447
15226,3,4,4,3,7,21,23,1537
14832,3,4,4,3,7,21,20,1554
16711,3,4,4,3,7,21,21,1624
2030,3,4,4,7,18,15,7,1215
26720,3,4,4,7,18,15,47,1528
39752,3,4,4,7,18,15,62,1629
3296,3,4,4,7,18,15,12,1674
540,3,4,4,7,18,15,2,1630
2739,3,4,4,6,20,9,8,1073
1369,3,4,4,6,20,9,5,1115
5015,3,4,4,6,20,9,11,1301
528,3,4,4,6,20,9,2,1309
7314,3,4,4,6,20,9,16,1423
1728,3,4,4,12,12,7,8,1712
40575,3,4,4,12,12,7,82,2066
5416,3,4,4,12,12,7,16,2007
460,3,4,4,12,12,7,3,1685
4848,3,4,4,12,12,7,19,1822
3131,2,8,3.8,2,13,31,6,749
5829,2,8,3.8,2,13,31,15,944
6565,2,8,3.8,2,13,31,26,1079
1745,3,4,4,12,12,7,8,1770
41783,3,4,4,12,12,7,78,2148
5653,3,4,4,12,12,7,15,2044
518,3,4,4,12,12,7,3,1814
4907,3,4,4,12,12,7,18,1836
1079,3,4,4,6,7,8,3,1091
15679,3,4,4,6,7,8,36,1247
31696,3,4,4,6,7,8,62,1421
4166,3,4,4,6,7,8,10,1407
46633,3,4,4,6,7,8,87,1470
1978,3,4,4,6,17,12,7,1116
1218,3,4,4,6,17,12,3,1085
460,3,4,4,6,17,12,1,1218
775,3,4,4,6,17,12,3,1128
5520,3,4,4,6,17,12,15,1363
1674,3,4,4,12,12,7,14,2079
35914,3,4,4,12,12,7,68,2503
6192,3,4,4,12,12,7,31,2657
638,3,4,4,12,12,7,5,2426
4738,3,4,4,12,12,7,12,2448
2215,3,4,4,5,12,26,6,1136
13571,3,4,4,5,12,26,16,1520
8189,3,4,4,5,12,26,17,1554
13349,3,4,4,5,12,26,26,1530
20762,3,4,4,5,12,26,33,1588
4927,3,4,4,4,23,11,13,1837
881,3,4,4,4,23,11,6,1754
9614,3,4,4,4,23,11,14,1932
8501,3,4,4,4,23,11,32,2104
6331,3,4,4,4,23,11,33,2303
1963,2,8,3.8,4,10,29,7,1050
28985,2,8,3.8,4,10,29,58,1537
13367,2,8,3.8,4,10,29,31,1743
52149,2,8,3.8,4,10,29,82,1862
8205,2,8,3.8,4,10,29,20,1820
6589,2,8,3.8,4,10,29,13,1823
18196,2,8,3.8,4,10,29,37,1887
41643,2,8,3.8,4,10,29,74,1973
18887,2,8,3.8,4,10,29,37,2066
2929,2,8,3.8,4,10,29,9,2057
17167,2,8,3.8,4,10,29,34,2078
4067,3,4,4,8,24,18,13,1583
6840,3,4,4,8,24,18,9,1882
6430,3,4,4,8,24,18,27,2051
11078,3,4,4,8,24,18,29,2178
4625,3,4,4,8,24,18,14,2193
2030,3,4,4,4,20,6,4,837
1551,3,4,4,4,20,6,3,870
5627,3,4,4,4,20,6,12,919
3978,3,4,4,4,20,6,6,951
2545,3,4,4,4,20,6,4,949
3410,3,4,4,11,31,28,15,1483
2668,3,4,4,11,31,28,8,1662
3807,3,4,4,11,31,28,7,1625
43061,3,4,4,11,31,28,67,2113
4483,3,4,4,11,31,28,34,2478
4039,3,4,4,12,27,6,14,1873
5983,3,4,4,12,27,6,15,2108
9790,3,4,4,12,27,6,29,2341
5266,3,4,4,12,27,6,16,2526
3771,3,4,4,12,27,6,17,2532
1769,3,4,4,5,11,13,5,1191
46276,3,4,4,5,11,13,85,1496
9228,3,4,4,5,11,13,21,1609
19850,3,4,4,5,11,13,33,1635
6455,3,4,4,5,11,13,15,1669
2004,3,4,4,7,16,9,6,1238
5656,3,4,4,7,16,9,14,1390
5787,3,4,4,7,16,9,11,1424
13078,3,4,4,7,16,9,19,1433
7468,3,4,4,7,16,9,10,1494
1134,3,4,4,4,9,27,3,767
7590,3,4,4,4,9,27,12,963
3016,3,4,4,4,9,27,6,1007
824,3,4,4,4,9,27,3,949
6949,3,4,4,4,9,27,13,1001
2795,3,4,4,7,16,9,19,1853
7766,3,4,4,7,16,9,16,2246
8177,3,4,4,7,16,9,15,2515
17287,3,4,4,7,16,9,30,2529
10692,3,4,4,7,16,9,25,2590
5805,2,8,3.8,6,16,8,11,1425,6240
23332,2,8,3.8,6,16,8,45,1935,7481
18781,2,8,3.8,6,16,8,37,2018,13417
14592,2,8,3.8,6,16,8,25,2075,16088
17229,2,8,3.8,6,16,8,35,2031,478
9294,2,8,3.8,6,16,8,19,1635,889
9205,2,8,3.8,6,16,8,14,1495,3064
38671,2,8,3.8,6,16,8,83,2194,9245
15862,2,8,3.8,6,16,8,31,2308,3178
14865,2,8,3.8,6,16,8,32,2264,267
3328,2,8,3.8,6,16,4,10,1468,490
6530,2,8,3.8,6,16,4,9,1758,10907
6181,2,8,3.8,6,16,4,17,1887,124
7861,2,8,3.8,6,16,4,22,1855,76
41978,2,8,3.8,6,16,4,72,1909,307
2993,2,8,3.8,6,16,4,10,1886,15
17326,2,8,3.8,6,16,4,32,1853,447
21287,2,8,3.8,6,16,4,41,1907,3721
6487,2,8,3.8,6,16,4,13,1801,377
1336,2,8,3.8,6,16,4,4,1603,1423
3506,2,8,3.8,6,16,16,11,1462,483
6918,2,8,3.8,6,16,16,14,1762,3355
16086,2,8,3.8,6,16,16,33,1954,14625
4697,2,8,3.8,6,16,16,12,1959,703
10949,2,8,3.8,6,16,16,25,1943,288
46378,2,8,3.8,6,16,16,89,2084,2662
6075,2,8,3.8,6,16,16,16,2218,578
30429,2,8,3.8,6,16,16,55,2254,3594
15566,2,8,3.8,6,16,16,38,2348,13304
2823,2,8,3.8,6,16,16,6,2300,2924
1686,2,8,3.8,6,8,4,6,1329,413
3914,2,8,3.8,6,8,4,10,1224,627
4936,2,8,3.8,6,8,4,10,1071,620
42012,2,8,3.8,6,8,4,83,1880,1691
40701,2,8,3.8,6,8,4,71,2095,3388
16226,2,8,3.8,6,8,4,30,2172,7540
36422,2,8,3.8,6,8,4,64,2173,1252
24759,2,8,3.8,6,8,4,46,2250,7641
29352,2,8,3.8,6,8,4,49,2291,4504
19251,2,8,3.8,6,8,4,39,2333,8210
3191,2,8,3.8,8,16,8,13,1660,418
33488,2,8,3.8,8,16,8,89,2472,7389
22517,2,8,3.8,8,16,8,50,2781,8519
22003,2,8,3.8,8,16,8,42,2840,7165
4677,2,8,3.8,8,16,8,12,2696,487
36207,2,8,3.8,8,16,8,87,2866,7583
11666,2,8,3.8,8,16,8,29,2970,209
7474,2,8,3.8,8,16,8,20,2967,189
10406,2,8,3.8,8,16,8,23,2895,391
6328,2,8,3.8,8,16,8,17,2649,512
3023,2,8,3.8,8,16,8,9,2384,1965
1800,2,8,3.8,2,8,4,3,662,469
17023,2,8,3.8,2,8,4,25,926,8169
8096,2,8,3.8,2,8,4,13,955,916
6602,2,8,3.8,2,8,4,7,964,10301
16587,2,8,3.8,2,8,4,29,1002,6362
5719,2,8,3.8,2,8,4,9,1017,6998
10655,2,8,3.8,2,8,4,16,1037,7813
24786,2,8,3.8,2,8,4,37,1066,3740
46676,2,8,3.8,2,8,4,70,1136,1129
12247,2,8,3.8,2,8,4,21,1218,7340
1602,2,8,3.8,8,8,4,7,1793,480
34828,2,8,3.8,8,8,4,65,2297,2830
12059,2,8,3.8,8,8,4,28,2216,141
9652,2,8,3.8,8,8,4,20,2127,162
27213,2,8,3.8,8,8,4,51,2382,7341
35787,2,8,3.8,8,8,4,68,2491,3067
12263,2,8,3.8,8,8,4,27,2528,6805
43634,2,8,3.8,8,8,4,87,2553,1171
24058,2,8,3.8,8,8,4,45,2575,4199
1422,2,8,3.8,8,8,4,5,2581,3160
7288,2,8,3.8,8,8,4,13,2192,309
1640,2,8,3.8,8,8,8,8,1755,473
19194,2,8,3.8,8,8,8,43,2010,112
